AccelForward (m/s²),AccelLateral (m/s²),AccelDown (m/s²),AngleRateForward (deg/s),AngleRateLateral (deg/s),AngleRateDown (deg/s)
0.074,-0.081,-9.799,0.71,0.094,0.214
0.12,-0.091,-9.805,0.601,-0.051,-0.198
0.081,0.192,-9.668,-0.598,0.064,-0.423
0.1,0.094,-9.758,0.088,-0.016,-0.032
0.048,-0.089,-9.948,0.768,-0.284,0.145
0.101,-0.041,-9.684,0.027,0.094,0.174
0.233,0.028,-9.645,-0.28,0.49,0.091
0.14,0.103,-9.893,-0.534,0.135,-0.04
0.099,0.028,-9.812,0.263,-0.08,-0.071
0.195,-0.178,-9.784,1.184,0.225,-0.192
0.188,-0.032,-9.716,-0.186,0.28,-0.192
0.23,0.163,-9.67,-1.018,0.044,-0.038
0.198,-0.059,-9.958,0.454,0.05,0.044
0.14,-0.076,-9.898,0.405,0.265,0.124
0.261,0.033,-9.677,-0.108,0.295,-0.003
0.22,-0.074,-9.75,0.765,0.216,0.039
0.153,0.043,-9.82,-0.25,0.035,0.165
0.254,0.005,-9.889,-0.511,0.254,0.228
0.242,-0.138,-9.84,0.354,0.235,0.196
0.265,0.146,-9.672,-0.798,0.179,0.064
0.332,0.064,-9.815,-0.047,0.175,-0.05
0.205,-0.202,-9.877,0.842,-0.019,-0.073
0.24,0.06,-9.7,-1.011,0.2,0.131
0.361,0.089,-9.799,-0.405,0.152,0.235
0.267,-0.008,-9.838,0.416,-0.029,0.084
0.294,0.083,-9.777,-0.349,0.246,0.083
0.315,-0.107,-9.842,0.671,0.208,-0.026
0.217,0.009,-9.746,-0.165,0.067,-0.104
0.288,0.244,-9.779,-1.223,0.108,0.018
0.267,-0.074,-9.971,1.034,0.097,-0.093
0.194,-0.079,-9.854,0.585,0.05,0.048
0.285,0.154,-9.751,-0.834,-0.121,0.327
0.2,0.03,-9.891,0.18,-0.071,0.018
0.131,0.027,-9.882,0.085,0.225,-0.308
0.258,-0.017,-9.848,0.062,0.29,-0.122
0.235,-0.05,-9.869,0.294,-0.31,0.12
0.203,0.205,-9.792,-0.935,-0.248,0.319
0.246,0.044,-9.873,0.168,0.308,0.093
0.182,-0.185,-9.885,1.176,0.016,-0.258
0.222,0.043,-9.71,-0.361,0.132,-0.161
0.281,0.072,-9.783,-0.207,0.17,-0.053
0.178,0.024,-9.888,0.112,-0.246,-0.179
0.213,0.031,-9.851,0.138,-0.14,-0.396
0.248,-0.168,-9.827,1.065,0.026,-0.241
0.162,-0.039,-9.698,0.012,-0.319,0.3
0.222,0.162,-9.733,-1.006,-0.068,0.153
0.2,-0.043,-9.984,0.298,0.285,-0.275
0.132,-0.103,-9.87,0.349,0.055,0.148
0.213,-0.026,-9.661,-0.043,-0.123,0.034
0.163,0.023,-9.77,-0.206,0.085,-0.148
0.075,0.093,-9.879,-0.613,0.25,0.221
0.188,-0.089,-9.839,0.461,-0.223,0.124
0.194,-0.122,-9.786,0.454,-0.191,-0.191
0.139,0.163,-9.706,-0.685,0.204,-0.39
0.193,0.095,-9.807,0.088,0.099,-0.003
0.115,-0.122,-9.893,0.888,-0.044,0.328
0.152,-0.043,-9.676,-0.017,0.199,0.008
0.243,0.073,-9.689,-0.492,-0.033,-0.325
0.15,0.147,-9.854,-0.62,-0.233,-0.144
0.172,0.042,-9.849,-0.004,0.134,0.118
0.213,-0.143,-9.802,0.797,0.122,-0.061
0.142,0.064,-9.714,-0.664,0.006,-0.138
0.211,0.202,-9.717,-0.773,0.084,0.11
0.198,-0.014,-9.939,0.545,-0.085,0.195
0.118,-0.052,-9.928,0.089,-0.043,-0.022
0.217,0.022,-9.723,-0.039,0.117,-0.088
0.179,0.088,-9.779,0.044,0.106,-0.138
0.077,0.128,-9.883,-0.234,0.063,-0.062
0.169,-0.087,-9.886,0.576,0.017,0.138
0.19,-0.069,-9.864,0.104,-0.108,-0.054
0.164,0.2,-9.736,-1.115,-0.131,-0.291
0.201,0.063,-9.782,0.173,0.161,-0.323
0.112,-0.121,-9.932,0.744,-0.183,-0.291
0.135,-0.038,-9.772,-0.153,-0.259,-0.049
0.247,0.05,-9.703,0.021,0.152,0.155
0.153,0.147,-9.841,-0.34,0.119,-0.09
0.123,0,-9.824,0.167,-0.03,-0.006
0.155,-0.216,-9.815,1.059,-0.077,0
0.126,0.034,-9.773,-0.514,0.025,-0.048
0.192,0.168,-9.685,-0.771,0.292,0.155
0.183,-0.058,-9.835,0.588,-0.073,-0.191
0.11,-0.092,-9.906,0.103,-0.249,-0.278
0.178,-0.043,-9.743,-0.144,0.14,-0.11
0.178,0.056,-9.759,-0.187,0.163,0.061
0.107,0.126,-9.825,-0.34,0.113,0.164
0.154,-0.148,-9.795,0.55,-0.111,-0.109
0.14,-0.152,-9.875,0.05,-0.324,-0.161
0.134,0.188,-9.8,-1.135,0.027,0.017
0.214,0.096,-9.761,-0.142,0.337,-0.128
0.126,-0.127,-9.902,0.923,-0.071,-0.159
0.104,-0.093,-9.774,0.292,-0.128,-0.128
0.23,0.02,-9.742,-0.513,0.043,-0.067
0.184,0.18,-9.896,-1.036,0.043,0.155
0.137,0.064,-9.786,0.095,0.077,0.341
0.157,-0.217,-9.767,1.429,-0.057,0.278
0.107,0.001,-9.847,-0.288,-0.443,0.01
0.134,0.257,-9.742,-1.206,-0.245,-0.07
0.184,0.033,-9.811,0.735,0.282,-0.014
0.137,-0.096,-9.883,0.861,-0.084,0.277
0.163,-0.022,-9.739,-0.121,-0.263,0.113
0.179,0.068,-9.781,-0.389,0.105,-0.227
0.113,0.15,-9.841,-0.617,0.101,-0.124
0.182,-0.046,-9.765,0.46,-0.004,-0.076
0.17,-0.18,-9.822,0.61,-0.121,0.027
0.099,0.102,-9.784,-0.866,0.095,0.1
0.19,0.175,-9.773,-0.758,0.149,0.077
0.164,-0.078,-9.87,0.678,-0.231,-0.126
0.09,-0.105,-9.745,0.23,0.182,-0.126
0.186,-0.02,-9.693,-0.334,0.23,-0.065
0.186,0.094,-9.861,-0.263,-0.106,-0.107
0.115,0.158,-9.854,-0.073,0.024,0.161
0.176,-0.117,-9.771,1.403,-0.086,0.251
0.142,-0.158,-9.805,0.645,-0.174,0.06
0.101,0.165,-9.731,-1.255,0.07,-0.008
0.179,0.137,-9.845,-0.317,0.163,0.088
0.143,-0.069,-9.969,0.709,0.108,-0.074
0.133,-0.059,-9.749,-0.019,0.336,-0.339
0.209,-0.011,-9.716,-0.284,-0.006,-0.004
0.116,0.11,-9.887,-0.521,-0.208,0.374
0.099,0.088,-9.847,-0.294,0.132,-0.174
0.196,-0.186,-9.817,0.96,-0.062,-0.325
0.161,-0.067,-9.792,-0.05,-0.306,0.117
0.162,0.207,-9.693,-1.302,0.02,0.223
0.178,0.019,-9.865,0.265,0.1,0.146
0.097,-0.128,-9.919,0.847,-0.085,-0.03
0.158,-0.025,-9.653,-0.137,0.142,-0.084
0.218,0.017,-9.699,-0.121,-0.073,-0.013
0.125,0.115,-9.875,-0.083,-0.134,-0.008
0.15,0.046,-9.861,0.17,-0.042,0.021
0.162,-0.148,-9.853,0.903,-0.21,0.075
0.132,0.044,-9.709,-0.255,0.237,0.126
0.19,0.179,-9.689,-0.724,0.237,0.031
0.155,-0.04,-9.928,0.644,-0.356,-0.047
0.097,-0.07,-9.934,0.341,0.119,-0.061
0.21,0.018,-9.717,-0.36,0.465,0
0.213,0.041,-9.756,-0.122,-0.064,0.358
0.099,0.069,-9.826,0.037,-0.1,0.071
0.165,-0.067,-9.825,0.262,0.042,-0.115
0.175,-0.117,-9.885,0.24,0.077,0.064
0.143,0.091,-9.735,-0.638,0.128,0.044
0.217,0.086,-9.734,-0.397,0.137,-0.117
0.142,-0.1,-9.941,0.66,0.02,-0.174
0.091,-0.093,-9.81,0.11,0.143,-0.196
0.22,-0.011,-9.689,-0.334,0.304,0.019
0.196,0.083,-9.855,-0.418,-0.098,0.505
0.109,0.055,-9.838,-0.246,-0.15,0.268
0.103,-0.159,-9.839,0.758,-0.036,-0.048
0.051,-0.1,-9.855,-0.093,-0.103,-0.051
0.107,0.14,-9.696,-1.023,-0.066,0.13
0.186,0.055,-9.8,0.278,-0.21,0.212
0.064,-0.117,-9.942,0.758,-0.187,0.091
0.045,-0.074,-9.766,-0.205,0.037,-0.11
0.086,0.05,-9.764,-0.639,-0.051,-0.051
-0.009,0.129,-9.855,-0.528,-0.19,0.196
0.027,-0.019,-9.802,0.27,-0.17,0.219
0.038,-0.175,-9.82,0.791,-0.076,-0.024
-0.061,0.073,-9.776,-1.085,0.085,-0.097
-0.009,0.223,-9.792,-1.236,-0.103,0.192
-0.033,-0.035,-9.929,0.734,-0.568,-0.128
-0.095,-0.076,-9.803,0.395,-0.116,-0.289
0.009,0.067,-9.682,-0.362,0.29,0.056
-0.017,0.104,-9.848,-0.047,-0.3,0.05
-0.077,0.146,-9.881,-0.193,0.022,0.168
-0.011,-0.034,-9.838,0.629,0.405,0.233
-0.047,-0.09,-9.765,0.543,0.02,0.019
-0.07,0.211,-9.69,-1.156,-0.227,-0.197
-0.014,0.133,-9.86,-0.106,-0.237,-0.13
-0.077,-0.102,-9.914,0.863,-0.062,-0.024
-0.028,0.008,-9.711,-0.354,0.306,-0.226
0.048,0.046,-9.72,-0.31,0.076,-0.067
-0.07,0.062,-9.825,-0.228,-0.306,0.007
-0.069,0.06,-9.816,-0.472,0.059,-0.128
-0.012,-0.159,-9.815,0.718,-0.032,0.231
-0.036,-0.018,-9.723,-0.191,-0.009,0.097
0.009,0.212,-9.731,-0.986,0.235,-0.209
-0.032,-0.06,-9.891,1.06,0.059,0.145
-0.099,-0.14,-9.831,0.831,0.136,0.256
0.024,0.031,-9.714,-0.546,0.319,-0.035
0.021,0.034,-9.772,-0.009,0.01,-0.092
-0.081,0.065,-9.832,-0.19,-0.285,-0.031
-0.025,-0.067,-9.859,0.202,0.027,-0.095
-0.042,-0.139,-9.848,0.629,-0.185,-0.093
-0.06,0.109,-9.725,-0.703,-0.189,0.003
0.044,0.078,-9.757,-0.079,0.392,0.103
-0.031,-0.122,-9.91,0.707,-0.113,0.133
-0.068,-0.081,-9.812,-0.094,-0.243,0.008
0.037,0.02,-9.741,-0.203,0.244,-0.152
-0.029,0.085,-9.837,-0.369,-0.205,-0.299
-0.048,-0.029,-9.788,0.088,-0.184,0.034
0.008,-0.202,-9.757,0.62,0.101,0.356
-0.03,0.009,-9.823,-0.56,-0.036,-0.01
0.005,0.193,-9.806,-0.817,-0.009,-0.118
0.01,-0.023,-9.839,0.811,-0.36,-0.081
-0.079,-0.116,-9.828,0.938,-0.302,0.066
-0.01,-0.013,-9.737,-0.218,-0.01,0.172
0.006,0.104,-9.813,-0.512,-0.052,0.129
-0.07,0.157,-9.887,-0.243,-0.105,0.118
0.003,-0.094,-9.84,0.978,-0.12,-0.103
-0.027,-0.145,-9.794,0.745,0.052,-0.005
-0.067,0.191,-9.736,-1.054,0.203,0.01
0.044,0.144,-9.817,-0.396,0.123,0.039
0.019,-0.093,-9.903,0.487,-0.054,0.018
0.013,-0.045,-9.765,-0.232,-0.052,-0.12
0.134,0.009,-9.698,-0.03,0.096,-0.034
0.092,0.089,-9.8,-0.554,-0.091,0.04
0.109,0.074,-9.807,-0.536,0.123,-0.093
0.219,-0.188,-9.766,0.922,0.396,-0.296
0.232,-0.068,-9.69,-0.26,0.048,-0.126
0.273,0.182,-9.695,-1.013,0.4,-0.014
0.272,-0.053,-9.802,0.828,0.543,0.019
0.249,-0.167,-9.809,0.828,0.146,-0.017
0.346,-0.052,-9.68,-0.444,0.316,-0.131
0.346,0.034,-9.695,-0.577,0.375,0.054
0.259,0.077,-9.861,-0.255,0.097,0.262
0.318,-0.134,-9.85,0.606,0.21,0.286
0.321,-0.106,-9.788,0.162,0.394,0.343
0.286,0.178,-9.762,-1.016,0.511,0.155
0.362,0.03,-9.803,0.331,0.203,0.1
0.316,-0.132,-9.894,0.571,-0.105,0.162
0.31,0.058,-9.845,-1.093,0.271,-0.245
0.394,0.06,-9.795,-0.36,0.248,-0.218
0.325,0.009,-9.78,0.36,-0.17,0.197
0.31,0.042,-9.805,-0.192,-0.036,0.539
0.351,-0.116,-9.846,0.177,0.026,0.414
0.324,0.023,-9.802,-0.474,-0.277,0.024
0.375,0.22,-9.794,-0.917,0.092,0.269
0.348,-0.051,-9.86,0.596,-0.155,0.172
0.254,-0.094,-9.844,0.501,-0.441,-0.074
0.349,0.102,-9.775,-0.539,0.294,-0.053
0.363,0.103,-9.846,-0.128,0.107,0.082
0.298,0.11,-9.867,-0.031,-0.086,0.23
0.363,-0.023,-9.85,0.605,0.192,0.162
0.333,-0.071,-9.857,0.46,-0.174,0.101
0.299,0.223,-9.778,-1.087,-0.048,-0.136
0.383,0.129,-9.836,0.305,0.399,-0.296
0.326,-0.142,-9.884,1.243,0.042,0.033
0.325,0.021,-9.786,-0.399,0.023,0.276
0.398,0.087,-9.789,-0.358,0.29,0.039
0.293,0.028,-9.821,0.307,-0.156,-0.162
0.31,0.01,-9.828,0.142,-0.199,-0.119
0.394,-0.149,-9.82,0.306,0.271,-0.025
0.337,-0.01,-9.783,-0.39,0.235,-0.407
0.351,0.148,-9.783,-0.726,0.254,-0.358
0.311,-0.124,-9.881,0.784,0.104,-0.154
0.248,-0.163,-9.83,0.524,0.221,-0.056
0.361,0.009,-9.696,-0.478,0.475,0.086
0.349,0.025,-9.783,-0.025,0.226,0.001
0.261,0.07,-9.851,-0.279,0.015,-0.052
0.302,-0.082,-9.838,0.38,-0.068,0.007
0.264,-0.176,-9.832,0.856,-0.19,0.05
0.252,0.112,-9.72,-0.851,-0.088,-0.151
0.343,0.138,-9.76,-0.63,-0.087,0.197
0.28,-0.114,-9.943,0.445,-0.709,0.723
0.255,-0.106,-9.816,-0.08,-0.29,0.36
0.34,0.027,-9.669,-0.388,0.221,-0.164
0.266,0.086,-9.778,-0.414,-0.013,-0.179
0.224,0.021,-9.8,0.012,0.159,0.1
0.302,-0.15,-9.772,0.677,0.043,0.24
0.274,-0.035,-9.803,-0.271,-0.21,0.024
0.253,0.183,-9.752,-0.885,-0.096,0.034
0.28,0.046,-9.789,0.548,-0.119,0.187
0.204,-0.079,-9.893,0.579,-0.217,-0.071
0.227,-0.02,-9.744,-0.118,0.14,-0.175
0.329,0.044,-9.738,-0.163,0.255,0.063
0.296,0.142,-9.925,-0.55,-0.132,0.271
0.307,0.081,-9.853,0.053,0.02,0.247
0.308,-0.132,-9.796,0.879,0.089,0.123
0.252,-0.05,-9.746,-0.125,0.044,-0.061
0.334,0.207,-9.698,-1.248,0.308,-0.131
0.366,0.106,-9.895,-0.101,0.042,0.096
0.307,-0.102,-9.883,0.894,-0.198,0.069
0.396,-0.054,-9.648,0.099,0.235,0.019
0.401,0.081,-9.689,-0.446,0.35,-0.225
0.288,0.114,-9.803,-0.031,0.307,-0.149
0.357,-0.047,-9.844,0.617,0.338,0.317
0.387,-0.086,-9.856,0.12,-0.034,-0.021
0.365,0.142,-9.767,-0.996,0.068,-0.085
0.399,0.122,-9.831,-0.071,0.086,0.103
0.314,-0.105,-9.894,0.911,-0.118,-0.002
0.311,-0.096,-9.791,0.155,0.063,0.009
0.377,0.024,-9.792,-0.316,0.126,-0.058
0.34,0.107,-9.856,-0.582,0.069,-0.054
0.372,-0.019,-9.865,-0.035,-0.036,-0.149
0.406,-0.208,-9.757,0.625,0.098,-0.056
0.387,0.005,-9.704,-0.531,-0.005,0.084
0.442,0.128,-9.763,-0.797,-0.251,-0.068
0.422,-0.097,-9.829,0.398,-0.215,0.208
0.385,-0.18,-9.827,0.332,-0.016,0.24
0.417,-0.014,-9.691,-0.25,0.082,-0.126
0.37,0.166,-9.78,-0.45,-0.031,-0.096
0.371,-0.03,-9.906,0.657,-0.366,0.141
0.427,-0.232,-9.725,1.353,-0.007,0.15
0.4,0.072,-9.787,-0.68,0.074,0.009
0.386,0.271,-9.97,-1.347,-0.223,0.067
0.382,-0.013,-9.861,0.635,0.022,0.197
0.443,-0.199,-9.73,0.937,0.112,-0.098
0.469,0.065,-9.745,-0.991,0.281,-0.369
0.403,0.237,-9.861,-1.315,0.233,0.122
0.372,-0.062,-9.909,0.642,-0.076,0.224
0.395,-0.217,-9.748,0.728,-0.032,0.04
0.469,0.133,-9.776,-1.32,0.075,-0.15
0.451,0.218,-9.893,-1.034,0.244,0.014
0.442,-0.181,-9.818,1.093,0.215,0.295
0.487,-0.185,-9.732,0.51,0.039,0.066
0.477,0.201,-9.789,-1.251,0.083,-0.087
0.466,0.116,-9.927,-0.332,-0.106,-0.049
0.482,-0.218,-9.663,1.448,-0.112,0.058
0.505,-0.037,-9.663,0.281,0.088,0.081
0.469,0.205,-9.929,-1.364,0.292,-0.125
0.47,-0.033,-9.838,0.338,0.209,0.054
0.526,-0.15,-9.696,1.086,0.062,0.295
0.508,0.098,-9.771,-0.445,-0.038,-0.139
0.508,0.108,-9.934,-0.285,0.313,-0.069
0.54,-0.133,-9.806,0.849,0.582,0.149
0.583,-0.021,-9.722,-0.375,0.019,-0.18
0.557,0.146,-9.816,-1.02,-0.181,-0.127
0.548,-0.091,-9.826,0.641,0.146,0.424
0.616,-0.152,-9.785,0.625,0.202,0.145
0.626,0.1,-9.776,-0.872,0.296,-0.246
0.613,0.066,-9.778,-0.304,0.015,-0.043
0.623,-0.155,-9.727,0.784,0.108,0.24
0.651,-0.012,-9.818,-0.222,0.445,0.158
0.664,0.127,-9.8,-0.706,0.264,-0.01
0.668,-0.005,-9.652,0.4,0.086,0.19
0.629,-0.047,-9.787,0.344,0.023,0.337
0.655,0.03,-9.843,-0.64,0.216,0.246
0.702,0.058,-9.712,-0.372,0.433,0.108
0.675,0.04,-9.761,-0.126,0.231,0.31
0.647,-0.011,-9.868,-0.012,-0.155,0.059
0.639,-0.019,-9.834,0.185,0.151,-0.162
0.687,0.097,-9.83,-0.122,0.312,0.071
0.7,0.047,-9.828,0.13,0.178,0.058
0.67,-0.041,-9.728,0.597,0.041,-0.035
0.684,0.092,-9.853,-0.293,0.167,-0.04
0.738,0.046,-9.883,-0.25,0.231,0.114
0.706,-0.089,-9.728,0.66,0.001,0.212
0.673,0.043,-9.794,-0.215,-0.005,0.077
0.718,0.115,-9.924,-0.631,0.1,0.102
0.743,-0.014,-9.827,0.338,0.182,-0.039
0.758,0.01,-9.742,0.252,0.275,-0.248
0.752,0.044,-9.801,-0.203,0.137,-0.127
0.757,-0.01,-9.817,0.167,-0.033,0.212
0.788,0.004,-9.775,0.112,0.189,0.307
0.79,0.033,-9.757,-0.253,0.276,0.048
0.788,0.06,-9.864,0.128,0.009,-0.036
0.816,0.013,-9.9,0.18,-0.135,0.091
0.783,-0.032,-9.72,0.241,0.088,0.131
0.738,0.012,-9.746,0.112,0.101,0.006
0.739,0.025,-9.946,-0.178,-0.146,0.009
0.77,-0.052,-9.803,0.136,0.043,0.084
0.808,-0.016,-9.647,-0.201,0.189,0.093
0.811,0.082,-9.828,-0.461,0.086,0.366
0.842,0.01,-9.901,0.099,0.103,0.363
0.866,-0.102,-9.73,0.265,0.334,0.008
0.87,-0.031,-9.684,-0.267,0.325,-0.123
0.863,0.066,-9.785,-0.355,0.019,-0.195
0.894,-0.007,-9.846,-0.099,0.096,-0.144
0.936,-0.049,-9.692,0.179,0.041,0.162
0.917,0.027,-9.725,-0.185,0.184,0.065
0.97,0.01,-9.841,-0.317,0.299,-0.131
0.981,-0.01,-9.718,0.163,-0.004,0.248
0.959,0.038,-9.753,0.087,0.036,0.282
0.987,0.003,-9.793,0.043,0.231,0.09
1.002,0.011,-9.763,0.008,0.219,0.104
1.026,0.042,-9.754,0.064,0.331,0.112
1.032,-0.025,-9.741,0.183,0.152,0.21
1.059,-0.011,-9.791,-0.212,0.18,0.036
1.066,0.029,-9.755,0.1,0.637,-0.035
1.098,0.009,-9.708,0.142,0.465,-0.1
1.155,-0.055,-9.716,0.013,0.135,-0.155
1.121,-0.052,-9.768,-0.112,0.272,0.097
1.179,0.049,-9.772,-0.575,0.448,0.196
1.206,0.066,-9.791,-0.015,0.318,0.161
1.149,-0.047,-9.791,0.593,0.23,0.057
1.215,-0.038,-9.719,0.048,0.283,0.109
1.232,0.101,-9.831,-0.716,0.578,-0.044
1.231,0.036,-9.818,0.109,0.393,-0.234
1.265,-0.039,-9.729,0.315,0.249,0.159
1.26,-0.028,-9.781,-0.331,0.618,0.378
1.264,0.014,-9.755,-0.014,0.445,0.14
1.305,0.083,-9.84,-0.247,0.388,0.081
1.307,-0.019,-9.847,-0.185,0.535,0.099
1.301,-0.032,-9.715,0.02,0.43,0.132
1.36,0.089,-9.813,-0.354,0.671,-0.361
1.376,0.041,-9.885,0.024,0.431,-0.08
1.334,-0.061,-9.827,0.364,0.166,0.481
1.382,-0.039,-9.786,-0.122,0.562,0.015
1.451,0.043,-9.834,-0.541,0.703,-0.101
1.407,0.006,-9.839,-0.109,0.498,0.084
1.441,-0.072,-9.757,0.303,0.621,0.51
1.47,-0.017,-9.827,-0.265,0.461,0.392
1.427,0.024,-9.824,-0.309,0.406,0.093
1.479,0.003,-9.734,0.118,0.695,0.211
1.513,0.025,-9.808,-0.227,0.447,0.213
1.468,-0.001,-9.932,-0.177,0.518,-0.131
1.484,-0.1,-9.915,0.242,0.626,0.088
1.511,0.001,-9.777,-0.204,0.714,0.442
1.542,0.194,-9.826,-0.658,0.547,0.129
1.53,0.001,-9.932,0.595,0.22,-0.039
1.517,-0.095,-9.846,0.605,0.47,-0.004
1.568,0.113,-9.783,-0.713,0.651,0.327
1.542,0.059,-9.886,-0.109,0.38,0.333
1.522,-0.041,-9.873,0.209,0.367,0.283
1.575,0.068,-9.909,-0.308,0.497,0.299
1.595,0.055,-9.912,0.092,0.551,0.352
1.579,0.071,-9.81,-0.189,0.656,0.195
1.563,0.046,-9.871,-0.072,0.433,-0.129
1.575,-0.024,-9.817,0.301,0.535,-0.04
1.599,0.107,-9.817,-0.688,0.444,0.129
1.589,0.1,-9.849,-0.367,0.354,0.203
1.585,-0.052,-9.879,0.879,0.507,-0.019
1.628,-0.06,-9.872,0.406,0.242,0.223
1.634,0.094,-9.757,-0.625,0.212,0.589
1.615,0.133,-9.832,-0.141,0.454,0.226
1.643,-0.03,-9.914,0.778,0.207,0.057
1.652,-0.065,-9.712,0.409,0.256,0.132
1.641,0.11,-9.746,-0.201,0.611,0.009
1.66,0.097,-9.865,0.145,0.291,0.022
