AccelForward (m/s²),AccelLateral (m/s²),AccelDown (m/s²),AngleRateForward (deg/s),AngleRateLateral (deg/s),AngleRateDown (deg/s)
1.65,-0.011,-9.781,0.251,0.129,0.009
1.642,-0.068,-9.756,0.517,0.399,-0.036
1.7,0.037,-9.759,-0.019,0.222,0.247
1.707,0.116,-9.81,-0.446,0.268,0.305
1.643,-0.065,-9.789,0.828,0.445,0.027
1.635,-0.036,-9.746,0.283,0.13,-0.011
1.7,0.106,-9.833,-0.755,0.138,0.096
1.666,-0.048,-9.781,0.582,0.202,0.208
1.677,-0.077,-9.709,0.703,-0.139,0.003
1.698,0.092,-9.748,-0.579,0.041,0.057
1.654,0.089,-9.728,-0.106,0.458,0.182
1.745,-0.048,-9.686,0.821,0.02,0.277
1.707,-0.115,-9.644,0.51,-0.026,0.255
1.625,-0.02,-9.735,-0.22,0.212,0.264
1.683,0.084,-9.771,-0.526,0.122,0.623
1.672,0.044,-9.79,-0.344,0.024,0.325
1.67,-0.087,-9.805,0.376,0.058,0.16
1.639,-0.138,-9.808,0.341,0.128,-0.12
1.692,0.077,-9.821,-1.197,0.326,-0.026
1.676,0.083,-9.967,-0.441,0.246,0.76
1.648,-0.21,-9.799,1.101,0.041,0.739
1.649,0.015,-9.786,-0.674,0.125,0.02
1.61,0.147,-10.152,-1.219,0.093,0.206
1.639,-0.212,-9.908,0.888,0.093,0.568
1.642,-0.106,-9.653,0.135,0.258,0.124
1.689,0.241,-9.851,-1.594,0.475,0.093
1.601,-0.022,-10.118,0.13,-0.093,0.295
1.656,-0.238,-9.733,0.98,-0.055,0.3
1.721,0.126,-9.631,-0.957,0.497,-0.01
1.66,0.154,-9.918,-0.952,0.198,0.088
1.625,-0.029,-9.792,-0.042,-0.066,0.387
1.623,0.01,-9.865,-0.098,-0.11,0.158
1.694,0.04,-9.765,-0.234,0.336,0.281
1.702,0.149,-9.702,-0.571,0.388,0.354
1.639,0.003,-9.823,0.252,-0.133,0.177
1.675,-0.03,-9.799,-0.235,-0.126,0.068
1.761,0.233,-9.812,-1.36,0.076,0.177
1.746,0.065,-9.746,0.027,-0.024,0.284
1.77,-0.118,-9.707,0.521,0.121,-0.003
1.779,0.086,-9.704,-0.546,-0.003,-0.119
1.789,0.165,-9.651,-0.435,-0.066,0.157
1.841,0.09,-9.631,-0.015,0.262,0.108
1.855,-0.134,-9.681,0.823,0.107,-0.134
1.815,-0.205,-9.607,0.65,0.049,-0.012
1.882,0.246,-9.746,-1.84,0.232,0.082
2.014,0.196,-9.738,-0.523,0.233,0.217
2.016,-0.21,-9.545,1.761,0.057,0.075
1.912,-0.091,-9.818,0.063,0.125,0.162
2.041,0.132,-9.761,-1.36,0.422,0.241
2.124,0.191,-9.641,-0.747,0.819,0.01
2.034,-0.133,-9.788,1.147,0.62,-0.217
2.099,-0.212,-9.753,0.637,0.391,0.08
2.192,0.222,-9.699,-1.597,0.985,0.583
2.219,0.075,-9.914,-0.173,0.697,0.408
2.279,-0.245,-9.735,1.472,0.446,0.321
2.279,0.048,-9.54,-0.942,1.087,0.239
2.275,0.124,-9.974,-1.335,1.118,0.234
2.349,-0.145,-9.803,0.61,1.174,0.485
2.309,-0.058,-9.618,-0.175,1.021,0.431
2.37,0.079,-9.913,-1.123,0.914,0.064
2.497,0.033,-9.818,-0.533,1.411,0.115
2.39,-0.057,-9.666,0.217,1.138,0.461
2.448,-0.042,-9.773,-0.1,1.16,0.462
2.548,0.146,-9.878,-1.235,1.5,0.488
2.442,0.062,-9.79,-0.315,1.306,0.346
2.438,-0.007,-9.845,0.388,1.254,0.244
2.528,0.122,-9.932,-0.425,1.404,0.224
2.53,0.061,-9.786,0.043,1.376,0.218
2.469,0.051,-9.777,0.221,1.038,0.277
2.547,0.103,-9.975,-0.307,0.827,0.576
2.507,0.098,-9.947,-0.165,1.208,0.668
2.415,0.029,-9.895,0.281,1.19,0.138
2.529,0.057,-9.952,0.179,1.154,0.119
2.524,0.145,-9.863,-0.208,1.312,0.274
2.493,-0.004,-9.979,0.399,1.113,0.128
2.599,0.036,-9.892,0.232,1.363,0.084
2.538,0.182,-9.787,-0.479,1.211,0.045
2.492,-0.067,-10.026,0.735,0.614,-0.095
2.601,-0.073,-9.897,0.354,0.577,0.125
2.508,0.156,-9.835,-0.497,0.851,0.306
2.531,-0.011,-9.948,0.674,0.821,0.103
2.651,-0.09,-9.889,0.463,0.658,0.066
2.547,0.126,-9.78,-0.841,0.511,0.05
2.489,0.013,-9.869,-0.263,0.401,0.309
2.52,-0.159,-9.827,0.463,0.702,0.601
2.491,-0.007,-9.813,-0.444,0.707,0.32
2.529,0.12,-9.853,-0.771,0.456,0.25
2.598,0.058,-9.718,-0.046,0.418,0.165
2.454,-0.114,-9.788,0.743,0.025,0.218
2.427,-0.084,-9.635,0.232,0.133,0.504
2.56,0.178,-9.649,-0.739,0.337,0.337
2.473,0.052,-9.797,0.455,0.017,0.161
2.404,-0.134,-9.481,1.344,0.04,0.347
2.476,0.129,-9.635,-0.239,0.236,0.589
2.525,0.098,-9.829,-0.321,0.052,0.702
2.464,-0.021,-9.683,0.636,-0.378,0.554
2.434,0.085,-9.737,-0.115,-0.099,0.011
2.405,0.108,-9.927,-0.81,0.32,0.074
2.341,-0.056,-9.929,0.21,-0.188,0.27
2.421,0.015,-9.701,-0.114,-0.199,0.59
2.524,0.192,-9.872,-1.565,0.059,0.844
2.414,-0.075,-9.746,0.029,-0.15,0.226
2.226,-0.084,-9.854,0.24,-0.027,0.173
2.336,0.13,-10.078,-1.232,0.341,0.164
2.356,0.126,-9.727,-0.299,0.325,0.243
2.407,0.068,-9.695,0.848,0.155,0.581
2.356,0.002,-9.995,0.25,0.118,0.431
2.225,-0.036,-10.062,-0.145,0.136,0.093
2.378,0.169,-9.92,-0.209,0.193,0
2.339,0.25,-9.94,0.16,-0.049,0.347
2.274,-0.054,-9.99,1.415,-0.15,0.436
2.308,-0.091,-9.713,0.518,0.176,0.09
2.294,0.184,-9.727,-0.859,0.36,-0.097
2.273,0.242,-10.145,-0.154,-0.254,-0.006
2.381,0.108,-9.656,0.715,-0.208,0.532
2.437,-0.08,-9.519,1.319,0.339,0.726
2.171,-0.11,-10.008,0.467,-0.237,0.167
2.226,0.328,-9.744,-2.609,0.043,0.22
2.283,0.244,-9.754,-0.481,0.397,0.309
2.185,-0.5,-9.712,3.648,-0.408,-0.096
2.266,-0.08,-9.724,-0.668,-0.038,0.011
2.167,0.473,-9.93,-3.296,0.281,0.184
2.209,-0.135,-9.752,1.681,-0.469,0.653
2.246,-0.38,-9.785,2.68,-0.381,0.785
2.166,0.124,-9.717,-0.968,0.147,0.294
2.205,0.327,-9.807,-1.099,-0.031,0.361
2.229,-0.029,-9.915,1.607,-0.234,0.435
2.156,-0.143,-9.81,1.569,-0.013,0.444
2.169,0.108,-9.793,-0.357,-0.317,0.556
2.189,0.225,-9.966,-0.214,-0.355,0.326
2.11,0.122,-9.954,1.075,-0.031,0.063
2.159,0.034,-10.036,0.925,-0.55,0.117
2.223,0.033,-9.919,0.495,-0.438,0.239
2.131,0.193,-9.694,-0.247,-0.092,0.388
2.055,0.102,-9.976,0.493,-0.466,0.577
2.109,-0.211,-9.716,1.586,-0.284,0.343
2.17,-0.012,-9.71,-0.672,0.147,0.099
2.05,0.139,-9.99,-1.191,-0.265,0.318
2.04,-0.096,-9.72,0.853,-0.572,0.295
2.149,-0.171,-9.703,0.503,-0.163,0.229
2.059,-0.039,-9.795,-0.837,0.109,0.367
2.126,0.075,-9.703,-0.969,0.338,0.389
2.076,-0.177,-9.812,0.354,0.104,0.174
1.91,-0.363,-9.604,0.614,-0.074,0.263
1.884,0.148,-9.523,-1.914,-0.03,0.333
1.893,0.16,-10.011,-1.018,-0.082,0.195
1.922,-0.341,-9.731,2.078,0.101,0.172
1.765,-0.091,-9.565,0.085,-0.256,0.328
1.645,0.199,-10.118,-1.748,-0.347,0.437
1.562,0.084,-10.205,0.167,-0.669,0.157
1.638,0.047,-9.999,0.421,-0.799,0.215
1.716,-0.064,-9.742,0.354,-0.517,0.212
1.523,0.032,-9.888,-0.195,-0.999,-0.014
1.466,0.317,-10.065,-1.712,-1.14,-0.044
1.297,0.039,-10.131,0.106,-1.209,0.038
1.187,-0.109,-9.883,0.749,-1.315,-0.074
1.371,0.319,-9.785,-1.484,-0.932,-0.145
1.247,0.062,-10.053,-0.18,-1.505,0.041
0.985,-0.237,-10.038,0.834,-1.938,-0.236
1.033,0.185,-10.185,-1.485,-1.499,-0.204
1.139,0.12,-9.951,-0.757,-1.3,0.198
0.919,-0.185,-9.745,1.663,-1.557,0.057
0.742,-0.078,-10.058,0.265,-1.829,-0.32
0.743,0.106,-10.185,-1.221,-1.797,-0.379
0.662,0.078,-9.92,0.234,-2.029,-0.119
0.673,0.011,-9.757,0.761,-1.842,0.08
0.644,0,-10.008,0.172,-1.352,0.372
0.501,-0.13,-9.965,0.552,-1.596,0.289
0.521,-0.008,-9.889,-0.124,-2.03,-0.026
0.529,0.27,-10.091,-0.921,-1.886,0.187
0.573,0.023,-9.883,0.611,-1.768,0.388
0.588,-0.149,-9.668,1.318,-1.913,0.23
0.426,0.095,-9.626,-0.139,-1.96,0.065
0.384,0.101,-9.681,-0.373,-1.751,0.175
0.42,0.115,-9.842,0.486,-1.831,0.363
0.561,0.087,-9.807,0.862,-1.69,0.046
0.492,-0.177,-9.356,1.512,-1.63,-0.018
0.388,-0.027,-9.428,0.577,-1.713,0.436
0.437,0.261,-9.945,-0.871,-1.425,0.178
0.451,0.019,-9.638,0.909,-1.234,-0.147
0.518,-0.19,-9.284,1.739,-1.03,0.203
0.34,0.07,-9.471,-0.538,-1.165,0.133
0.272,0.182,-9.733,-1.044,-1.255,0.174
0.4,0.047,-9.757,0.388,-0.946,0.34
0.368,0.055,-9.431,0.53,-0.494,-0.054
0.413,-0.007,-9.399,0.457,-0.784,0.029
0.371,-0.104,-9.677,1.065,-0.539,0.321
0.294,0.064,-9.398,0.277,-0.095,0.224
0.362,0.156,-9.5,-0.214,-0.428,0.171
0.461,-0.043,-9.697,1.081,-0.406,0.237
0.325,-0.165,-9.502,1.186,-0.402,-0.02
0.208,0.009,-9.799,-0.131,-0.394,-0.021
0.395,0.206,-9.903,-0.931,-0.089,0.364
0.456,-0.072,-9.717,0.578,-0.193,0.322
0.302,-0.347,-9.605,1.632,-0.35,0.05
0.346,0.018,-9.691,-1.256,0.112,-0.083
0.414,0.111,-9.766,-1.774,0.243,0.001
0.326,-0.248,-9.479,1.449,-0.034,0.226
0.421,0.007,-9.435,0.211,0.078,0.114
0.519,0.167,-9.528,-0.944,0.313,-0.066
0.367,-0.253,-9.563,1.798,0.182,0.264
0.225,-0.044,-9.896,0.709,0.132,0.149
0.428,0.243,-9.828,-0.505,0.413,-0.163
0.468,0.093,-9.762,0.887,0.387,0.002
0.433,-0.061,-9.775,1.556,0.149,-0.129
0.51,0.011,-9.649,0.578,0.096,-0.256
0.313,0.237,-10.001,-0.498,-0.021,-0.034
0.471,-0.013,-9.786,0.879,0.065,0.122
0.66,-0.115,-9.777,0.897,0.092,-0.317
0.455,0.157,-9.999,-1.174,0.17,-0.373
0.402,0.163,-9.745,-0.836,-0.254,-0.208
0.354,-0.07,-10.229,1.217,-0.493,-0.279
0.456,-0.16,-10.092,0.583,0.267,-0.084
0.543,0.001,-9.53,-0.406,0.584,0.011
0.491,-0.048,-9.923,0.113,0.311,-0.05
0.431,-0.163,-10.055,0.318,0.234,-0.105
0.426,-0.014,-9.734,-0.043,0.364,-0.225
0.588,0.027,-9.905,0.06,0.335,-0.155
0.569,-0.174,-10.031,1.42,0.284,0.112
0.562,-0.143,-9.534,0.636,0.665,-0.302
0.547,-0.004,-9.623,-0.209,0.738,-0.333
0.414,-0.04,-10.19,0.453,0.199,0.108
0.579,0.075,-10.057,-0.129,0.34,0.039
0.747,-0.135,-9.455,0.453,0.931,0.184
0.493,-0.28,-9.574,1.002,0.323,0.009
0.401,0.206,-10.11,-2.19,0.476,-0.502
0.669,0.206,-10.062,-1.564,0.909,-0.106
0.626,-0.4,-9.681,2.803,0.035,0.395
0.614,-0.199,-9.669,-0.001,0.151,0.133
0.616,0.263,-9.878,-3.07,0.456,-0.138
0.476,-0.047,-9.854,0.013,-0.061,0.003
0.636,-0.13,-9.854,0.604,-0.009,-0.048
0.726,-0.059,-9.633,-0.447,0.174,-0.082
0.6,-0.208,-9.53,0.471,-0.266,0.031
0.583,0.157,-9.854,-1.898,-0.022,0.005
0.564,0.159,-9.984,-1.278,0.023,0.208
0.492,-0.284,-9.757,1.808,-0.704,0.05
0.679,0.174,-9.77,-1.537,-0.098,-0.151
0.741,0.222,-9.726,-1.451,0.169,-0.02
0.425,-0.33,-9.809,1.56,-0.855,0.163
0.498,0.137,-9.743,-1.618,-0.432,0.077
0.725,0.427,-9.813,-2.193,0.154,-0.213
0.568,-0.223,-9.884,2.032,-0.619,-0.089
0.643,-0.099,-9.359,0.255,-0.076,-0.12
0.659,0.305,-9.837,-1.788,0.515,-0.244
0.379,-0.004,-10.047,0.728,-0.228,-0.45
0.61,0.037,-9.748,0.218,0.221,-0.16
0.776,0.123,-9.788,0.217,0.472,0.184
0.593,0.015,-9.647,0.678,0.112,-0.228
0.583,0.16,-9.941,-0.752,0.445,-0.45
0.528,0.041,-9.668,0.814,0.233,-0.312
0.442,0.049,-9.807,1.017,0.032,-0.211
0.625,0.182,-10.185,-0.652,0.72,-0.241
0.711,-0.064,-9.665,0.74,0.749,-0.21
0.513,-0.107,-10.031,0.805,0.184,-0.299
0.57,0.263,-10.079,-1.741,0.36,-0.35
0.628,0.16,-9.775,-0.243,0.352,-0.328
0.57,-0.411,-9.736,2.926,-0.151,-0.136
0.601,-0.081,-9.682,-0.079,0.198,-0.016
0.647,0.441,-10.083,-2.051,0.67,-0.258
0.561,-0.094,-10.014,2.189,0.098,-0.08
0.567,-0.306,-9.639,2.807,0.043,-0.021
0.714,0.189,-9.901,-0.325,0.241,0.019
0.56,0.063,-10.048,0.474,-0.379,-0.107
0.542,-0.205,-9.894,1.712,-0.279,-0.171
0.632,-0.014,-9.815,0.061,-0.038,0.025
0.646,0.14,-9.865,-0.896,-0.148,-0.121
0.65,0,-9.901,0.05,-0.408,0.052
0.612,-0.252,-9.896,1.174,-0.553,-0.012
0.607,-0.126,-9.949,0.029,-0.609,-0.186
0.672,0.097,-9.774,-1.595,-0.435,-0.087
0.659,-0.144,-9.7,0.341,-0.382,0.267
0.47,-0.367,-9.397,1.3,-0.515,0.095
0.334,-0.07,-9.807,-1.084,-0.604,-0.107
0.283,-0.019,-10.113,-1.001,-0.736,-0.013
0.389,-0.133,-9.536,0.315,-0.199,-0.167
0.517,-0.114,-9.762,0.275,-0.313,0.185
0.52,-0.199,-9.729,0.258,-0.352,0.378
0.511,0.08,-9.698,-1.523,-0.071,0.109
0.744,0.177,-9.955,-1.533,-0.289,-0.068
0.713,-0.101,-9.659,0.654,-0.182,-0.263
0.744,-0.081,-9.51,0.149,0.251,-0.325
0.859,0.03,-9.646,-0.884,0.27,-0.069
0.699,-0.035,-9.838,-0.263,0.051,0.228
0.884,0.123,-9.749,-0.743,0.578,0.273
0.949,0.226,-9.542,-0.465,1.149,-0.092
0.733,-0.162,-9.79,1.447,0.658,-0.34
0.841,-0.165,-9.579,-0.293,0.669,-0.285
0.777,0.249,-9.839,-1.998,0.769,-0.176
0.659,0.183,-9.796,-0.598,0.604,-0.031
0.738,-0.019,-9.667,-0.052,0.67,-0.097
0.704,-0.179,-10.281,0.312,0.383,-0.492
0.934,0.058,-9.807,-1.455,0.755,-0.352
1.04,0.388,-9.744,-2.417,0.831,-0.118
0.979,-0.193,-9.918,1.576,0.447,-0.271
1.066,-0.381,-9.464,1.437,0.589,-0.339
1.063,0.28,-9.723,-2.556,0.764,-0.296
0.98,0.285,-9.97,-0.847,0.564,-0.221
0.877,-0.269,-9.66,2.711,0.396,-0.227
0.671,-0.212,-9.862,0.743,0.429,-0.351
0.637,0.171,-9.886,-1.105,0.282,-0.284
0.817,0.163,-9.91,-0.298,0.428,-0.025
0.885,-0.065,-10.192,0.602,0.338,-0.184
0.914,-0.148,-9.611,1,0.474,-0.296
1.011,0.008,-9.813,-0.297,0.314,-0.104
1.016,0.088,-10.319,-0.809,-0.165,0.089
1.086,0.069,-9.572,-0.308,0.591,-0.067
1.084,-0.061,-9.665,0.215,0.291,-0.327
0.792,-0.195,-10.088,0.215,-0.411,-0.045
0.756,0.032,-9.674,-1.28,0.251,0.05
0.967,0.077,-9.588,-0.393,0.366,-0.142
0.863,-0.126,-9.793,1.019,-0.081,-0.09
0.767,-0.086,-9.55,0.001,-0.113,0.198
0.851,0.039,-9.91,-0.405,0.058,0.357
0.973,0.03,-10.13,0.257,0.3,0.412
1.12,0.065,-9.57,0.423,-0.105,0.225
1.16,0.13,-9.679,0.2,-0.218,0.049
1.131,0.031,-9.819,0.663,-0.091,-0.116
1.008,0.059,-9.659,0.195,-0.401,-0.156
0.987,0.275,-9.807,-0.667,-0.286,0.129
1.12,0.109,-10.137,0.795,-0.124,0.067
1.192,-0.179,-9.682,1.423,-0.057,-0.324
1.019,-0.003,-9.654,-0.46,-0.196,-0.66
1.015,0.232,-10.127,-1.596,-0.132,-0.169
1.068,0.036,-9.942,0.138,-0.155,0.161
1.218,-0.158,-9.553,1.617,-0.148,-0.013
1.244,-0.147,-9.325,0.524,0.073,-0.312
0.907,-0.086,-9.86,-0.479,-0.23,-0.406
0.833,0.121,-10.291,-0.863,-0.481,-0.129
0.959,0.111,-10.113,-0.235,0.125,-0.032
1.031,-0.108,-10.062,1.409,0.315,0.106
1.058,-0.262,-9.483,1.935,-0.002,-0.131
0.984,-0.054,-9.539,-0.165,-0.245,-0.319
0.79,0.286,-10.34,-1.451,-0.216,0.096
0.908,0.019,-9.903,1.31,0.223,0.127
1.093,-0.226,-9.56,2.635,0.228,-0.174
0.966,0.024,-9.892,0.304,-0.011,-0.191
1.012,0.104,-9.87,-0.486,0.045,-0.083
1.003,0.046,-9.901,0.756,0.085,-0.316
0.936,-0.118,-9.92,1.731,-0.306,-0.209
1.131,-0.046,-9.778,0.261,-0.305,0.105
1.129,0.191,-9.759,-0.826,-0.044,-0.12
0.836,-0.096,-9.813,0.982,-0.441,-0.224
0.794,-0.192,-9.844,0.516,-0.8,-0.22
0.847,0.23,-9.939,-2.371,-0.345,-0.096
0.966,0.017,-9.734,-0.169,-0.313,0.247
1.07,-0.508,-9.592,2.544,-0.835,0.416
0.834,-0.228,-10.219,-0.334,-1.172,0.191
0.901,-0.052,-9.945,-1.612,-0.391,0.086
1.003,0.067,-9.561,-1.511,0.015,0.022
1.044,-0.026,-9.619,-0.05,-0.611,-0.158
0.959,-0.317,-9.774,0.913,-0.519,0.185
0.767,-0.035,-10.066,-1.588,-0.438,0.065
0.977,0.069,-9.672,-1.166,-0.13,-0.078
0.948,-0.024,-9.695,0.203,0.105,0.056
0.842,0.075,-9.695,-0.584,-0.128,-0.159
1.015,0.07,-9.582,-0.36,0.09,-0.338
0.961,-0.145,-10.056,0.922,0.146,-0.137
1.002,0.103,-9.474,-0.854,0.444,-0.059
1.014,0.321,-9.251,-1.309,0.509,-0.346
0.803,-0.081,-9.927,1.448,0.017,-0.31
0.899,-0.091,-9.685,0.776,0.395,-0.269
1.048,0.139,-9.781,-0.794,0.617,-0.436
0.97,0.05,-9.748,0.287,0.482,-0.396
0.807,0.184,-9.885,-0.452,0.527,-0.327
0.734,0.028,-10.235,-0.702,0.174,-0.266
0.802,-0.192,-9.955,0.889,0.274,-0.184
0.805,0.12,-9.803,-0.734,0.516,-0.277
0.844,0.031,-9.789,-0.437,-0.003,-0.395
0.715,-0.34,-9.982,1.75,-0.439,-0.326
0.744,0.029,-9.846,-1.407,0.016,-0.324
0.839,0.382,-9.909,-2.071,0.552,-0.37
0.724,-0.352,-9.679,3.531,0.079,-0.519
0.712,-0.369,-9.537,1.841,-0.27,-0.266
0.645,0.136,-10.144,-1.78,-0.2,-0.176
0.599,-0.021,-9.79,0.263,-0.166,-0.106
0.612,0.178,-9.659,0.116,-0.145,-0.105
0.636,-0.021,-9.899,0.822,-0.424,-0.219
0.531,-0.216,-9.669,0.885,-0.324,-0.076
0.525,0.201,-9.824,-1.581,-0.133,-0.396
0.514,-0.052,-9.888,0.172,-0.539,-0.215
0.449,-0.323,-9.671,1.175,-0.363,0.01
0.555,0.105,-9.51,-1.415,0.347,-0.016
0.498,0.125,-9.875,-0.614,-0.078,-0.06
0.328,-0.406,-10.02,1.721,-0.69,0.089
0.31,-0.214,-9.77,-0.327,-0.213,-0.055
0.414,0.311,-10.039,-2.109,-0.181,-0.085
0.342,-0.012,-10.052,0.718,-0.336,-0.205
0.318,-0.348,-10.005,1.501,-0.087,-0.315
0.397,0.058,-10.119,-1.611,-0.133,0.008
0.285,0.185,-9.996,-1.244,-0.25,0.083
0.337,-0.247,-9.93,1.61,-0.352,0.015
0.29,-0.176,-9.881,0.68,-0.169,-0.076
0.313,0.202,-9.895,-1.708,-0.187,-0.098
0.302,0.149,-9.922,-0.363,-0.46,-0.276
0.201,-0.007,-9.837,1.16,-0.436,-0.038
0.373,-0.011,-9.502,0.188,-0.2,0.003
0.277,0.053,-9.629,0.363,-0.243,-0.116
0.217,0.144,-9.935,0.035,-0.536,0.061
0.194,-0.011,-9.797,0.307,-0.609,-0.076
0.06,-0.182,-9.786,1.783,-0.474,-0.157
0.261,0.214,-9.911,-0.824,-0.249,-0.319
0.274,0.301,-9.776,-1.089,-0.017,-0.342
0.183,-0.189,-9.655,2.472,-0.379,-0.297
0.215,-0.13,-9.692,0.994,-0.558,-0.318
0.08,0.065,-9.852,-0.819,-0.535,-0.181
0.13,0.043,-9.944,0.226,-0.602,-0.335
0.259,0.088,-9.829,-0.045,-0.254,-0.228
0.147,-0.29,-9.943,2.143,-0.403,-0.024
0.103,-0.289,-9.547,1.122,-0.193,-0.172
0.149,0.257,-9.757,-2.921,-0.213,-0.096
0.146,0.063,-10.047,-0.251,-0.386,-0.16
0.299,-0.216,-9.311,1.707,0.135,-0.365
0.107,-0.169,-9.622,0.538,-0.358,-0.214
0.101,-0.142,-9.802,-0.36,-0.372,0.133
0.175,0.137,-9.615,-1.278,-0.037,0.011
-0.01,0.052,-9.869,0.44,-0.634,0.041
0.113,-0.235,-9.688,1.248,-0.233,0.289
0.189,-0.087,-9.889,-0.908,0.083,-0.068
